Test Case,End Position,Moves Executed,OMC,Test File
1,25168374,117,12,8QueensBabcockGordon.txt
2,57413268,38,18,8QueensBabcockGordon.txt
3,41582736,26,15,8QueensBabcockGordon.txt
4,64285713,59,16,8QueensBabcockGordon.txt
5,57413268,67,13,8QueensBabcockGordon.txt
6,36271485,99,11,8QueensBabcockGordon.txt
7,26318524,180,7,8QueensBabcockGordon.txt
8,24275316,96,12,8QueensBabcockGordon.txt
9,48136275,49,17,8QueensBabcockGordon.txt
10,57413862,120,6,8QueensBabcockGordon.txt
1,35286471,74,20,8QueensBeineXiong.txt
2,24813627,163,16,8QueensBeineXiong.txt
3,47382516,57,15,8QueensBeineXiong.txt
4,51863724,66,4,8QueensBeineXiong.txt
5,58417263,106,20,8QueensBeineXiong.txt
6,58417263,13,19,8QueensBeineXiong.txt
7,64718253,42,16,8QueensBeineXiong.txt
8,53847162,24,8,8QueensBeineXiong.txt
9,36418572,86,14,8QueensBeineXiong.txt
10,27581463,56,18,8QueensBeineXiong.txt
1,25713864,0,0,8QueensJohnFerraro.txt
2,24683175,149,1,8QueensJohnFerraro.txt
3,26318524,147,2,8QueensJohnFerraro.txt
4,58417263,25,3,8QueensJohnFerraro.txt
5,14852736,12,4,8QueensJohnFerraro.txt
6,26831475,35,5,8QueensJohnFerraro.txt
7,46831752,56,6,8QueensJohnFerraro.txt
8,41357246,119,7,8QueensJohnFerraro.txt
9,71386425,12,1,8QueensJohnFerraro.txt
10,51863724,3,3,8QueensJohnFerraro.txt
1,64713528,94,20,8QueensLeszczewiczMahoneyAlhubail.txt
2,75814632,144,16,8QueensLeszczewiczMahoneyAlhubail.txt
3,25863374,156,10,8QueensLeszczewiczMahoneyAlhubail.txt
4,63728514,28,18,8QueensLeszczewiczMahoneyAlhubail.txt
5,61528374,10,12,8QueensLeszczewiczMahoneyAlhubail.txt
6,52473861,12,16,8QueensLeszczewiczMahoneyAlhubail.txt
7,41586372,80,28,8QueensLeszczewiczMahoneyAlhubail.txt
8,51842736,41,17,8QueensLeszczewiczMahoneyAlhubail.txt
9,51468273,59,15,8QueensLeszczewiczMahoneyAlhubail.txt
10,73362551,44,14,8QueensLeszczewiczMahoneyAlhubail.txt
1,63728514,42,28,8QueensZhangSteffes.txt
2,36275184,74,28,8QueensZhangSteffes.txt
3,48152613,300,20,8QueensZhangSteffes.txt
4,46831752,32,20,8QueensZhangSteffes.txt
5,17468253,36,16,8QueensZhangSteffes.txt
6,35841726,130,12,8QueensZhangSteffes.txt
7,46831752,60,14,8QueensZhangSteffes.txt
8,84716253,64,12,8QueensZhangSteffes.txt
9,38471625,22,8,8QueensZhangSteffes.txt
10,63175824,118,10,8QueensZhangSteffes.txt
1,17582463,0,0,8QueenTestCases_DowneyMartinVanKampen.txt
2,47382516,28,2,8QueenTestCases_DowneyMartinVanKampen.txt
3,63175824,29,5,8QueenTestCases_DowneyMartinVanKampen.txt
4,25741863,112,16,8QueenTestCases_DowneyMartinVanKampen.txt
5,71386425,34,20,8QueenTestCases_DowneyMartinVanKampen.txt
6,53847162,61,7,8QueenTestCases_DowneyMartinVanKampen.txt
7,63627518,36,8,8QueenTestCases_DowneyMartinVanKampen.txt
8,53847162,34,12,8QueenTestCases_DowneyMartinVanKampen.txt
9,75226831,152,20,8QueenTestCases_DowneyMartinVanKampen.txt
10,81572636,182,12,8QueenTestCases_DowneyMartinVanKampen.txt
